"arquivo_climatico","uf","municipio","lat","long","alt","populacao","zb","tbsm","tbum","cdh","cdd10","cdd24","hdd18"
"BRA_BA_Jacobina.866360_INMET","ba","jacobina",-11.21,-40.47,453,84811,8,24.36237443,18.0789611872146,44016,5242.3,357.7,0
"BRA_BA_Lencois.866540_INMET","ba","lencois",-12.56,-41.39,439,11445,8,24.85493151,18.056095890411,45351,5422.1,480.2,0
"BRA_BA_Macajuba.866550_INMET","ba","macajuba",-12.14,-40.36,380,11837,8,24.05605023,18.5379109589041,45988,5130.5,329.3,0
"BRA_BA_Marau.866770_INMET","ba","marau",-13.91,-38.97,10,21175,8,25.67393836,21.8040525114155,68777,5721,651,0
"BRA_BA_Paulo.Afonso.829860_INMET","ba","paulo_afonso",-9.41,-38.22,253,119214,7,26.32472603,18.0193264840183,49250,5958.5,926.2,0
"BRA_BA_Piata.866730_INMET","ba","piata",-13.16,-41.77,1290,18473,5,19.79696347,14.4267123287671,12890,3575.9,0,71.1
"BRA_BA_Porto.Seguro.867450_INMET","ba","porto_seguro",-16.39,-39.18,85,145431,8,23.74295662,21.14899543379,59953,5016.2,236.5,0
"BRA_BA_Queimadas.866120_INMET","ba","queimadas",-10.98,-39.62,315,26083,8,26.1327968,18.1315867579909,49333,5888.5,855.8,0
"BRA_BA_Remanso.829790_INMET","ba","remanso",-9.62,-42.08,401,42275,7,26.81585616,18.5306621004566,52957,6137.8,1032.9,0
"BRA_BA_Salvador.866780_INMET","ba","salvador",-12.97,-38.51,51,2921087,8,25.86309361,21.59149543379,67930,5790,695.6,0
"BRA_BA_Santa.Rita.de.Cassia.866330_INMET","ba","santa_rita_de_cassia",-11.01,-44.52,450,28822,6,26.05268265,16.3094634703196,41536,5859.2,788.2,0
"BRA_BA_Senhor.do.Bonfim.830880_INMET","ba","senhor_do_bonfim",-10.44,-40.15,548,81330,7,23.85422374,17.3068949771689,38481,5056.8,330.9,0
"BRA_BA_Serrinha.866370_INMET","ba","serrinha",-11.66,-39.02,339,83275,8,24.14803653,19.033698630137,48810,5164,421.5,0
"BRA_BA_Uaua.819920_INMET","ba","uaua",-9.83,-39.5,453,25087,6,25.40560502,17.577796803653,44252,5623,638,0
"BRA_BA_Una.867240_INMET","ba","una",-15.28,-39.09,82,22105,8,24.15445205,21.2892922374429,61888,5166.4,273.7,0
"BRA_BA_Valenca.866760_INMET","ba","valenca",-13.37,-39.07,39,97305,8,24.20535388,21.2072831050228,61466,5185,276.9,0
"BRA_BA_Vitoria.da.Conquista-Figueiredo.AP.866970_INMET","ba","vitoria_da_conquista",-14.87,-40.84,870,343230,5,20.59972603,16.5671917808219,25245,3868.9,3.9,39.1
"BRA_CE_Acarau.817550_INMET","ce","acarau",-3.12,-40.09,76,61210,8,26.60207763,21.9607191780822,72063,6059.8,951.1,0
"BRA_CE_Barbalha.819110_INMET","ce","barbalha",-7.3,-39.27,409,58855,7,25.59280822,18.4689155251142,49823,5691.4,607,0
"BRA_CE_Campos.Sales.827770_INMET","ce","campos_sales",-7.08,-40.36,572,27123,7,24.86718037,17.3115525114155,41522,5426.5,465.4,0
"BRA_CE_Crateus.818300_INMET","ce","crateus",-5.19,-40.67,291,74271,7,27.09111872,18.8034589041096,55793,6238.3,1129.4,0
"BRA_CE_Fortaleza-Pinto.Martins.Intl.AP.817580_INMET","ce","fortaleza",-3.8,-38.53,41,2591188,8,26.6534589,21.8276826484018,71394,6078.5,970.5,0
"BRA_CE_Guaramiranga.824870_INMET","ce","guaramiranga",-4.26,-38.93,38,3720,5,20.68920091,18.6621232876712,37100,3901.6,0,0
"BRA_CE_Iguatu.818730_INMET","ce","iguatu",-6.36,-39.3,233,101386,7,27.01376712,18.6567237442922,55516,6210,1101.9,0
"BRA_CE_Itapipoca.817560_INMET","ce","itapipoca",-3.48,-39.59,102,124950,8,26.89288813,21.3357191780822,69216,6165.9,1056.9,0
"BRA_CE_Jaguaribe.818330_INMET","ce","jaguaribe",-5.91,-38.63,184,34561,7,27.7834589,19.8765867579909,63710,6491,1382.3,0
"BRA_CE_Jaguaruana.824930_INMET","ce","jaguaruana",-4.79,-37.78,12,33469,8,27.24494292,20.844200913242,67485,6294.4,1184.4,0
"BRA_CE_Morada.Nova.825940_INMET","ce","morada_nova",-5.11,-38.37,44,61903,7,27.1401484,20.6499429223744,66326,6256.2,1146.6,0
"BRA_CE_Quixeramobim.825860_INMET","ce","quixeramobim",-5.2,-39.29,80,77174,7,26.43517123,19.7497488584475,59523,5998.8,895.9,0
"BRA_CE_Taua.818720_INMET","ce","taua",-6.02,-40.28,415,57701,7,26.19417808,17.0286415525114,44330,5910.9,833.1,0
"BRA_DF_Brasilia.867150_INMET","df","brasilia",-15.78,-47.93,1160,2914830,4,21.08148402,13.922602739726,16624,4044.7,9.3,3.7
"BRA_DF_Planaltina.867160_INMET","df","planaltina",-15.53,-47.56,1200,164939,4,20.95384703,15.521198630137,23361,3998.2,2.9,8.1
