"area","ratio","pd","azi","comp","vid","abs","paf","fv","ven","somb","zb","tbsm","tbum","cdh","phi","phs","phft","tmin","tmax","cgtr","cgta","cgtt","dif_phi","dif_phs","dif_phft","dif_tmin","dif_tmax","dif_cgtr","dif_cgta","dif_cgtt"
77,2.5,5,270,"tv","duplo_fs39-87",0.2,10,1,"nao",150,6,23.92,18.12,44156,0.474885844748859,17.5799086757991,81.945205479452,15.4019107819097,29.8906223262331,35.1956819725082,0.448956794308393,35.6446387668166,0.328767123287671,-35.9474885844749,35.6187214611872,-1.3541558996663,-4.4306134037093,-110.781888654808,0.293622575738668,-110.488266079069
58,0.5,5,270,"tm10","simples_fs39",0.2,30,0.45,"nao",150,6,23.92,18.12,44156,0.639269406392695,18.527397260274,80.8333333333333,14.522008669369,30.2953005441708,49.734597581351,0.843733811648865,50.5783313929998,0.493150684931508,-34.703196347032,34.2100456621005,-2.049130548489,-3.3480462222382,-113.748402604025,0.663284214399234,-113.085118389626
58,1,5,0,"tm20","simples_fs87",0.2,50,0.45,"nao",0,6,23.92,18.12,44156,0.246575342465753,23.8584474885845,75.8949771689498,16.3930992377298,31.6618864090937,64.1424017523783,0.244982428739753,64.3873841811179,0.100456621004566,-29.3995433789954,29.2990867579909,-0.272048272360401,-2.5711940346077,-94.7393602930152,0.0697322304261113,-94.6696280625898
77,0.5,5,0,"sfar","duplo_fs39-87",0.8,10,1,"nao",0,6,23.92,18.12,44156,0,39.0114155251142,60.9885844748858,18.4189077164836,35.6371997028934,83.5068243782431,0,83.5068243782431,-0.164383561643836,-13.4543378995434,13.6187214611872,1.8139922628117,1.2762717547321,-67.1213427378009,-0.190043014066059,-67.311385751867
39,1,5,180,"sfar","duplo_fs39-87",0.8,50,0.45,"nao",0,6,23.92,18.12,44156,0.200913242009132,48.3698630136986,51.4292237442922,16.3451019856838,35.7348485139893,232.235624824811,0.25062209016232,232.486246914973,0.0365296803652967,-7.5456621004566,7.5091324200913,0.0704782022559023,1.8650892206763,31.0392481638593,0.0219551609096402,31.061203324769
77,1,5,180,"tm20","duplo_fs87-87",0.6,10,1,"nao",150,6,23.92,18.12,44156,0.182648401826484,43.3036529680365,56.513698630137,16.5592028309716,34.1512975511851,107.591260104139,0.158591272111934,107.749851376252,0.054794520547945,-10.6666666666667,10.6118721461187,-0.119730698033202,0.281554439534503,-38.4974668059649,0.0226729924338384,-38.4747938135311
58,2.5,5,270,"tm10","simples_fs87",0.2,50,0.45,"nao",0,6,23.92,18.12,44156,0.237442922374429,18.7305936073059,81.0319634703197,16.3916547555083,30.1651544421691,46.4181322464835,0.239798690091844,46.6579309365753,0.091324200913242,-35.5821917808219,35.4908675799087,-0.170333391845702,-4.1725486261233,-119.195769017614,0.0608326985043584,-119.13493631911
77,1,5,0,"tm20","duplo_fs87-87",0.2,50,0.45,"nao",0,6,23.92,18.12,44156,0.246575342465753,16.6118721461187,83.1415525114155,16.4622334844833,29.8385953950518,34.8337626596717,0.218834781812895,35.0525974414846,0.100456621004566,-35.9178082191781,35.8173515981735,-0.388909423156402,-4.4137779150297,-105.40415489374,0.066151713641839,-105.338003180098
58,1,5,180,"sfiso","duplo_fs87-87",0.8,50,0.45,"nao",0,6,23.92,18.12,44156,0,28.9200913242009,71.0799086757991,18.0663304083054,35.2490216209497,86.8324622716361,0,86.8324622716361,-0.164383561643836,-25.7397260273972,25.9041095890411,1.567683906056,1.3867393910143,-78.7071559500871,-0.189352019404045,-78.8965079694911
77,2.5,2.5,270,"tm20","duplo_fs87-87",0.8,30,1,"nao",150,6,23.92,18.12,44156,0.0091324200913242,38.8698630136986,61.12100456621,17.9336366053541,36.0774400223928,85.8500807763163,0.0013625237316251,85.8514433000482,0,-17.4543378995434,17.4543378995434,-0.0371803736817995,1.4774271988276,-25.6142572311467,-0.00288881056903831,-25.6171460417158
